court_name,order_date,order_time,city,email
Gan Daniel ,2023-06-22,12:00:00, Haifa , bvenneyq@statcounter.com 
Kadesh ,2023-06-23,16:00:00, Beer Sheva ,bvillaret7@techcrunch.com
Weizmann ,2023-06-24,10:00:00, Tel Aviv , cteffto@wisc.edu 
Pal-Yam ,2023-06-25,16:00:00, Haifa ,ctrusse3@tumblr.com
Rothschild ,2023-06-26,16:00:00, Jerusalem , dtopleyt@cocolog-nifty.com
Rager ,2023-06-27,12:00:00, Beer Sheva , emetsonk@miitbeian.gov.cn 
Salah ,2023-06-29,18:00:00, Haifa ,gcogar6@biglobe.ne.jp
Family ,2023-06-30,18:00:00, Jerusalem , gculveyd@dyndns.org 
Rishon ,2023-07-01,18:00:00, Haifa , gspurdenl@usda.gov 
Weizmann,2023-07-01,16:00:00,Tel Aviv ,hcarrivick0@cbc.ca
Eilat,2023-06-22,14:00:00, Tel Aviv , bvenneyq@statcounter.com 
Pal-Yam ,2023-06-23,12:00:00, Haifa ,bvillaret7@techcrunch.com
Eilat,2023-06-24,14:00:00, Tel Aviv , cteffto@wisc.edu 
Pal-Yam ,2023-06-25,10:00:00, Haifa ,ctrusse3@tumblr.com
Weizmann,2023-06-26,10:00:00,Tel Aviv , dtopleyt@cocolog-nifty.com
Pal-Yam ,2023-06-27,12:00:00, Haifa , emetsonk@miitbeian.gov.cn 
Weizmann,2023-06-29,16:00:00,Tel Aviv ,gcogar6@biglobe.ne.jp
Eilat,2023-06-30,12:00:00, Tel Aviv , gculveyd@dyndns.org 
Rishon,2023-06-30,12:00:00, Haifa , gspurdenl@usda.gov 
Salah,2023-06-30,16:00:00, Haifa ,hcarrivick0@cbc.ca
